,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bengkulu,-3.8004,102.2655,76.1,89,100,2.89,ID,1666554984
1,tuktoyaktuk,69.4541,-133.0374,14.0,85,75,5.75,CA,1666555161
2,cape town,-33.9258,18.4232,68.41,76,0,21.85,ZA,1666555162
3,richards bay,-28.783,32.0377,69.89,93,82,2.28,ZA,1666554939
4,tiksi,71.6872,128.8694,21.13,93,100,11.16,RU,1666555162
5,ushuaia,-54.8,-68.3,47.86,76,75,5.75,AR,1666555162
6,porto novo,6.4965,2.6036,78.62,88,68,5.44,BJ,1666555163
7,kokopo,-4.352,152.2633,76.93,83,100,2.59,PG,1666555163
8,kalagarh,29.5,78.75,64.2,50,0,4.92,IN,1666555164
9,bluff,-46.6,168.3333,46.76,84,100,21.59,NZ,1666555164
10,ayacucho,-13.1583,-74.2239,80.46,18,40,4.61,PE,1666555165
11,port hedland,-20.3167,118.5667,73.45,83,3,13.8,AU,1666554912
12,new norfolk,-42.7826,147.0587,51.3,80,100,1.01,AU,1666555165
13,maniitsoq,65.4167,-52.9,36.59,92,100,12.39,GL,1666555167
14,arlit,18.7369,7.3853,83.46,17,70,13.47,NE,1666555167
15,rikitea,-23.1203,-134.9692,72.45,80,100,10.76,PF,1666555168
16,voh,-20.9667,164.7,72.03,90,100,6.02,NC,1666555169
17,omsukchan,62.5333,155.8,-11.45,100,94,2.8,RU,1666555031
18,busselton,-33.65,115.3333,55.29,91,61,9.8,AU,1666555170
19,punta arenas,-53.15,-70.9167,57.31,44,0,28.77,CL,1666555170
20,puerto ayora,-0.7393,-90.3518,75.16,86,54,5.99,EC,1666555171
21,necochea,-38.5473,-58.7368,69.35,36,100,14.29,AR,1666555171
22,bathsheba,13.2167,-59.5167,86.61,70,40,18.41,BB,1666555172
23,gizo,-8.103,156.8419,81.36,72,100,1.48,SB,1666555172
24,jamestown,42.097,-79.2353,71.24,32,0,4.61,US,1666554941
25,luganville,-15.5333,167.1667,77.02,86,100,1.72,VU,1666555172
26,misratah,32.3754,15.0925,73.24,62,0,9.95,LY,1666555173
27,coquimbo,-29.9533,-71.3436,60.53,72,75,9.22,CL,1666555173
28,mataura,-46.1927,168.8643,43.9,99,100,7.02,NZ,1666555174
29,vagur,61.4732,-6.8119,47.79,87,100,27.22,FO,1666555049
30,albany,42.6001,-73.9662,62.33,60,100,1.5,US,1666555163
31,saint george,37.1041,-113.5841,55.8,38,2,10.0,US,1666555174
32,kyrksaeterora,63.2906,9.0891,41.81,91,92,5.19,NO,1666555174
33,lima,-12.0432,-77.0282,64.65,68,0,12.66,PE,1666554933
34,burns lake,54.2331,-125.7533,31.42,54,100,6.89,CA,1666555175
35,palmer,42.1584,-72.3287,58.77,72,100,6.35,US,1666555175
36,narasannapeta,18.4167,84.05,73.49,79,57,7.49,IN,1666555176
37,hithadhoo,-0.6,73.0833,81.57,71,91,5.28,MV,1666555176
38,hilo,19.7297,-155.09,80.11,77,65,3.0,US,1666555149
39,victoria,22.2855,114.1577,78.85,72,95,8.99,HK,1666555176
40,havelock,34.8791,-76.9013,66.15,88,100,4.0,US,1666555177
41,pedara,37.6169,15.0567,64.47,72,0,6.91,IT,1666555177
42,awjilah,29.1081,21.2869,66.07,35,0,5.64,LY,1666555178
43,luanda,-8.8368,13.2343,76.53,85,46,14.03,AO,1666555178
44,lebu,-37.6167,-73.65,54.88,65,1,12.1,CL,1666555178
45,tateyama,34.9833,139.8667,62.1,79,100,20.33,JP,1666555179
46,namibe,-15.1961,12.1522,68.25,83,64,6.29,AO,1666555179
47,kavieng,-2.5744,150.7967,80.04,70,99,1.74,PG,1666555180
48,airai,-8.9266,125.4092,61.12,77,85,2.95,TL,1666555180
49,thompson,55.7435,-97.8558,35.76,64,75,10.36,CA,1666555181
50,hobart,-42.8794,147.3294,51.66,74,75,9.22,AU,1666555181
51,diglur,18.55,77.6,64.51,78,1,4.92,IN,1666555181
52,abilene,32.4487,-99.7331,88.18,37,0,5.99,US,1666555182
53,hermanus,-34.4187,19.2345,64.8,85,71,15.26,ZA,1666555182
54,lagos,6.5833,3.75,77.32,88,80,3.87,NG,1666554900
55,port alfred,-33.5906,26.891,64.18,90,89,9.8,ZA,1666555183
56,ponta delgada,37.7333,-25.6667,65.12,77,40,11.5,PT,1666554929
57,bambous virieux,-20.3428,57.7575,73.65,83,75,5.75,MU,1666555183
